stat_no;year;month;day;hour;elem_val
26409;1997;7;6;7;0,0
26409;1997;7;7;7;0,0
26409;1997;7;8;7;0,0
26409;1997;7;9;7;0,0
26409;1997;7;10;7;0,0
26409;1997;7;11;7;0,0
26409;1997;7;12;7;0,0
26409;1997;7;13;7;4,5
26409;1997;7;14;7;0,0
26409;1997;7;15;7;0,0
26409;1997;7;16;7;0,0
26409;1997;7;17;7;3,0
26409;1997;7;18;7;49,6
26409;1997;7;19;7;2,4
26409;1997;7;20;7;4,8
26409;1997;7;21;7;1,2
26409;1997;7;22;7;4,0
26409;1997;7;23;7;0,0
26409;1997;7;24;7;0,0
26409;1997;7;25;7;0,6
26409;1997;7;26;7;1,0
26409;1997;7;27;7;3,0
26409;1997;7;28;7;2,0
26409;1997;7;29;7;8,0
26409;1997;7;30;7;0,0
26409;1997;7;31;7;16,1
26409;1997;8;1;7;4,1
26409;1997;8;2;7;0,0
26409;1997;8;3;7;0,0
26409;1997;8;4;7;0,0
26409;1997;8;5;7;0,0
26409;1997;8;6;7;0,0
26409;1997;8;7;7;0,0
26409;1997;8;8;7;0,0
26409;1997;8;9;7;0,0
26409;1997;8;10;7;0,0
26409;1997;8;11;7;0,0
26409;1997;8;12;7;0,0
26409;1997;8;13;7;0,0
26409;1997;8;14;7;0,0
26409;1997;8;15;7;0,0
26409;1997;8;16;7;0,0
26409;1997;8;17;7;0,0
26409;1997;8;18;7;0,0
26409;1997;8;19;7;0,0
26409;1997;8;20;7;0,0
26409;1997;8;21;7;0,0
26409;1997;8;22;7;0,0
26409;1997;8;23;7;1,2
26409;1997;8;24;7;0,0
26409;1997;8;25;7;0,0
26409;1997;8;26;7;0,7
26409;1997;8;27;7;3,9
26409;1997;8;28;7;0,0
26409;1997;8;29;7;28,4
26409;1997;8;30;7;0,0
26409;1997;8;31;7;0,0
26409;1997;9;1;7;0,0
26409;1997;9;2;7;0,0
26409;1997;9;3;7;1,5
26409;1997;9;4;7;0,0
26409;1997;9;5;7;1,2
